pattern, strength, component1, component2
while,134,,
iar_,134,,
of_an_action_was_,134,of_an_acti,on_was_
n_of_an_acti,134,,
the_ori,134,,
attain,134,,
supremacy_,134,,
ained_,134,,
ion_att,134,,
gin_,134,,
rigi,134,,
on_was_interpre,135,,
interpreted_,135,,
ted_in_the_m,135,,
e_sense,136,,
in_the_mos,136,,
t_definit,136,,
ost_,136,,
_sense_p,136,,
definite,136,,
ly_and_i,136,,
_if,136,,
as_origin,137,,
_out_of_an,137,,
re_agre,137,,
sible_as_or,137,,
_of_an_INTE,137,,
_people_we,137,,
_the_belief,137,_the_,belief
greed_in,137,,
NTION,137,,
TION_people_,137,,
igin_out,137,,
_INTEN,137,,
lue_of_an_acti,138,lue_,of_an_acti
on_la,138,,
lay_,138,la,y_
_that_the_va,138,,
of_an_action_,138,,
belief_that_,138,belief,_that_
y_in_the_,138,,
the_value_,138,,
inten,139,,
_as_the_sol,139,,
in_the_value_of_,139,,
value_of_its_,139,,
tion._The_,139,,
tion_as_the_,139,,
tention,139,,
sole,139,,
intention,139,,
its_in,139,,
._The_inten,139,._The_,inten
and_ant,140,,
eceden,140,,
origin_and_a,140,,
_origin_,140,,
ntece,140,,
dent_h,141,,
luence_,141,lu,ence_
y_of_an_ac,141,,
udice_mor,141,,
al_pra,141,,
t_histor,141,,
_under_the_in,141,,
_an_action,141,,
flu,141,,
_the_inf,141,,
tion_under,141,,
istory_of,141,istor,
prej,141,,
of_this_pre,141,,
ce_moral_,141,,
judi,141,,
ence_of_this_,141,,
ve_been,142,,
been_be,142,,
_besto,142,,
e_and_blam,142,,
e_have_,142,,
stowe,142,,
ise_and_,142,,
men,142,,
wed_and_,142,,
d_and_m,142,,
prais,142,,
blame_ha,142,,
philosophized_a,143,,
_have_j,143,,
d_and_even_,143,,
ud,143,,
lmo,143,,
dge,143,,
even_philosophiz,143,,
ed_al,143,,
en_have_,143,,
ged_and_,143,,
the_present,144,the_pre,
up_to_,144,,
_to_the_pre,144,_to_,the_pre
st_up,144,,
most_,144,,
the_necessit,145,,
_day,145,,
_have_aris,145,,
shment_,145,,
y_may,145,,
_now_have_,145,,
ver_that_,145,,
.Is_it_,145,,
possible_ho,145,,
wever,145,,
arisen,145,,
s_it_not_,145,,
sent_d,145,,
e_howe,145,,
not_possibl,145,,
necessity_m,145,,
_that_the_,145,,
ay_now,145,,
ay.I,145,,
_of_again,146,,
_up_our_,146,,
again_ma,146,,
_our_minds_,146,,
ing_up,146,,
en_of_,146,,
fti,147,,
versi,147,,
with_regard_to_,147,,
sing_,147,,
shif,147,,
minds_with_regard_,147,,
fundamental_shi,147,,
